"","Camera","SD_Card","Round","ForestType","Forest","Season","SpecRichness","NumDeer","Inv_simp_div","Shan_div","RoadDensity50","PlotSize50","Aspect50","Slope50","P_Water50","P_Mixed50","P_Deciduous50","P_Forest50","P_Development50","P_Agriculture50","P_Shrub50","P_Wetland50","P_Herb50","PPT_50","Elevation50","Cam_Model","Cam_Orient","ForestShannon","Forest_Density","Forest_Dominance","Sap_Dominance","PPT_100","Slope100","Elevation100","RoadDensity100","PlotSize100","Cam_Orient100","Aspect100","P_Water100","P_Mixed100","P_Deciduos100","P_Forest100","P_Development100","P_Agriculture100","P_Shrub100","P_Heb100"
"70",9,34,2,"Pine","WF","Spring",NA,NA,NA,NA,0,7261271.09,87.5104446,16.05431557,2.150538,1.25448,50.179211,88.709677,0,7.526882,1.612903,0.358423,0,123.1381989,117,"Bushnell HD",46,1.200636272,9933.333333,32.48932693,48171.08736,104.4089966,5.051152706,274,0,5615631.565,161,98.13010406,1.170117,1.080108,97.479748,98.559856,0,0,0,0
"71",22,31,2,"Pine","WF","Spring",9,60,1.853376379,1.072709353,0.267861281,7261271.09,90,14.03624344,4.480287,0,67.02509,77.240144,1.433692,0,13.082437,0,3.763441,120.1684036,121,"Bushnell HD",280,1.200636272,9933.333333,32.48932693,48171.08736,84.79499817,2.8624053,125,0,7261271.087,13,0,1.890189,1.80018,36.993699,90.729073,0,0,1.620162,1.260126
"72",33,32,2,"Pine","WF","Spring",2,3,1.923076923,0.673011667,0,5202084.1,NA,0,0,0,34.408602,43.189964,0,11.648746,41.577061,2.508961,0,99.76599884,196,"Browning ",17,1.200636272,9933.333333,32.48932693,48171.08736,123.1381989,1.012750387,255,0.549441,4741317.962,278,315,5.490549,0.540054,63.546355,91.179118,NA,NA,0.360036,0.360036
"73",6,42,3,"Pine","WF","Summer",NA,NA,NA,NA,0.698624119,4741317.96,59.0362434,4.168739796,0,3.046595,10.035842,82.97491,0.179211,0,0,17.383513,0,83.87879944,250,"Browning ",298,1.200636272,9933.333333,32.48932693,48171.08736,98.48180389,0,277,0,9505800.525,37,NA,2.70027,6.750675,66.156616,86.138614,0,0,2.430243,0.360036
"74",14,17,3,"Pine","WF","Summer",7,19,1.724455467,0.826025122,0,6371882.83,NA,0,1.971326,0,83.512545,85.483871,0,0,1.792115,10.035842,0,96.86520386,144,"Bushnell HD",189,1.200636272,9933.333333,32.48932693,48171.08736,95.92179871,2.263636112,132,0,7261271.087,288,251.5650482,0.720072,1.260126,35.553555,92.439244,NA,NA,0.990099,NA
"75",21,40,3,"Pine","WF","Summer",NA,2,NA,NA,0.714961978,5615631.56,78.6900711,10.82504368,3.046595,0.179211,85.304659,93.906809,0,0,0,3.225806,0,96.40039825,255,"Bushnell HD",51,1.200636272,9933.333333,32.48932693,48171.08736,94.88400269,3.199601412,113,0.010084,6371882.833,164,333.4349365,2.880288,0,78.217822,80.378038,0,0,0,0
"76",32,26,3,"Pine","WF","Summer",10,18,1.956181534,1.0835901,0,6371882.83,108.434952,6.762860775,4.121864,0,80.46595,80.46595,0,0,0,8.064516,7.885305,94.92060089,131,"Browning ",56,1.200636272,9933.333333,32.48932693,48171.08736,84.79499817,11.30993271,119,0.50759,7261271.087,263,180,0.360036,2.520252,61.746175,88.838884,1.980198,0,3.150315,0.810081
"77",3,39,4,"Pine","WF","Fall",6,5,4.787234043,1.674589567,0,5615631.56,270,4.289153576,0.358423,4.121864,86.55914,94.623656,0,0,0,4.301075,0,97.68659973,279,"Bushnell HD",172,1.200636272,9933.333333,32.48932693,48171.08736,98.40180206,0,262,0.324411,4741317.962,157,NA,3.60036,1.80018,45.0045,81.278127,0,0,0.810081,0
"78",5,34,4,"Pine","WF","Fall",6,11,3.74251497,1.53290246,0,9505800.53,341.5651,4.520227432,2.150538,10.9319,17.383513,86.559141,0,0,0,10.394265,0,98.48180389,222,"Browning ",224,1.200636272,9933.333333,32.48932693,48171.08736,91.68359375,8.588925362,128,0,6371882.833,233,245.5560455,0.90009,0,80.19802,80.19802,0,0,2.340234,4.680468
"79",34,21,4,"Pine","WF","Fall",10,77,2.106320908,1.254315271,0.983261847,9505800.53,296.565063,3.199601412,0,0.716846,57.526882,98.74552,0,0,0,1.433692,0,102.7360001,350,"Browning ",129,1.200636272,9933.333333,32.48932693,48171.08736,97.375,3.199601412,350,1.102746,9505800.525,129,296.5650635,0,3.60036,66.516652,97.29973,0.360036,0,0,0.090009
"80",36,32,4,"Pine","WF","Fall",15,17,8.934261408,2.347446021,0,9505800.53,NA,0,2.150538,7.168459,30.645161,80.824373,0,0.179211,0,17.383513,0,102.7360001,222,"Browning ",236,1.200636272,9933.333333,32.48932693,48171.08736,91.19300079,0,222,0,9505800.525,236,NA,1.080108,6.210621,33.393339,77.947794,0,8.10081,0,0
"81",2,7,1,"Pine","WHIP","Winter",NA,NA,NA,NA,1.504610742,9505800.53,0,2.8624053,0,0,10.035842,91.397849,0.358423,0,3.046595,5.376344,0,104.4986038,273,"Bushnell HD",240,1.450201299,37979.16667,52.51739898,35473.81705,120.1684036,13.83230305,223,0,5615631.565,322,293.9624939,3.240324,1.980198,94.059406,96.039604,0,0,0,0
"82",18,16,1,"Pine","WHIP","Winter",5,13,2.494845361,1.19731028,0,5202084.1,26.5650501,3.199601412,0,3.584229,56.810036,95.878136,4.659498,0,0,0,0,84.79499817,206,"Browning ",16,1.450201299,37979.16667,52.51739898,35473.81705,85.8302002,2.8624053,273,1.183714,9505800.525,240,0,0,2.250225,19.531953,88.388839,1.620162,0.540054,4.860486,0.450045
"83",31,6,1,"Pine","WHIP","Winter",4,4,3.878787879,1.37050239,0,7261271.09,0,2.8624053,1.971326,2.508961,32.97491,94.982079,0,0,1.612903,0,1.433692,85.30079651,125,"Bushnell HD",13,1.450201299,37979.16667,52.51739898,35473.81705,98.40180206,0,251,1.708201,4741317.962,12,NA,1.890189,0.720072,10.80108,81.548155,0,0,1.260126,4.680468
"84",32,17,1,"Pine","WHIP","Winter",6,18,1.865671642,1.02690461,0,7261271.09,23.19859,5.438007832,8.960573,1.792115,35.125448,87.096774,0,0,1.612903,2.867384,0,91.81259918,121,"Browning ",297,1.450201299,37979.16667,52.51739898,35473.81705,123.1381989,5.438007832,254,0.658475,4741317.962,105,336.8014221,2.070207,0.990099,47.074707,92.259225,0,0,0.090009,1.620162
"85",2,42,2,"Pine","WHIP","Spring",8,18,3.107526882,1.532267061,0.729647265,4741317.96,315,1.012750387,6.272401,0,16.487455,82.616487,0,0,1.612903,9.498208,0,85.8302002,251,"Bushnell HD",0,1.450201299,37979.16667,52.51739898,35473.81705,85.8302002,0,235,0.592534,9505800.525,328,NA,0,7.740774,13.591359,66.426642,0,30.60306,0.540054,0.990099
"86",18,40,2,"Pine","WHIP","Spring",13,42,2.808205128,1.573152973,0,5615631.56,293.962494,13.83230305,0,3.942652,96.057348,100,0,0,0,0,0,92.95980072,223,"Bushnell HD",322,1.450201299,37979.16667,52.51739898,35473.81705,92.54319763,4.289153576,279,0,5615631.565,172,270,2.70027,3.330333,81.638164,90.549055,0,0,1.170117,0
"87",31,41,2,"Pine","WHIP","Spring",3,6,1.684210526,0.73562194,0,6371882.83,NA,0,4.301075,0,87.992832,87.992832,0,0,0,6.09319,1.612903,90.55780029,140,"Bushnell HD",180,1.450201299,37979.16667,52.51739898,35473.81705,97.57499695,0,140,0,6371882.833,180,NA,5.040504,0,76.59766,76.59766,0,0,0.720072,4.230423
"88",32,39,2,"Pine","WHIP","Spring",3,2,2.666666667,1.039720771,0.513261553,7261271.09,180,11.30993271,0,1.075269,65.949821,95.519714,1.792115,0,2.867384,0.358423,0.537634,85.30079651,119,"Browning ",263,1.450201299,37979.16667,52.51739898,35473.81705,96.62519836,2.02486825,220,0,5202084.104,92,45,0,10.80108,49.50495,95.589558,0,0,0.270027,0
"89",4,11,3,"Pine","WHIP","Summer",NA,NA,NA,NA,0.905170002,4741317.96,296.565063,3.199601412,1.25448,1.25448,27.419355,91.935484,0,0,0,4.121864,2.150538,85.8302002,262,"Bushnell HD",354,1.450201299,37979.16667,52.51739898,35473.81705,92.54319763,8.984876633,279,0.756377,5615631.565,226,108.4349518,4.320432,2.070207,85.688569,87.758776,0,0,0.810081,0
"90",15,16,3,"Pine","WHIP","Summer",11,14,5.952913753,1.983041066,0,6371882.83,333.434937,3.199601412,3.405018,0,85.663082,85.842293,0,0,0,10.9319,0,96.86520386,113,"Browning ",164,1.450201299,37979.16667,52.51739898,35473.81705,85.59600067,5.438007832,121,0,7261271.087,297,23.19859,8.010801,2.070207,41.044104,86.858685,0,0,1.260126,0
"91",22,22,3,"Pine","WHIP","Summer",NA,NA,NA,NA,0.888699578,4741317.96,336.801422,5.438007832,0,1.075269,49.462366,97.670251,0,0,0,1.433692,0.896057,93.27200317,254,"Bushnell HD",105,1.450201299,37979.16667,52.51739898,35473.81705,94.0141983,9.094640732,113,0,6371882.833,13,231.3401947,0.270027,0,75.337534,76.867687,0,0,0.630063,0.990099
"92",31,3,3,"Pine","WHIP","Summer",7,11,1.307504762,0.541687663,0.3535004,5615631.56,237.528809,9.256682396,0,0.716846,98.566308,99.283154,0,0,0,0.896057,0,99.28639984,270,"Bushnell HD",244,1.450201299,37979.16667,52.51739898,35473.81705,97.57499695,6.762860775,131,0,6371882.833,56,108.4349518,4.50045,0,76.237624,76.237624,0,0,0.720072,4.860486
"93",7,42,4,"Pine","WHIP","Fall",14,7,7.438053097,2.24693502,0,6371882.83,220.236359,12.01703548,6.451613,0,85.304659,85.304659,0,0,1.792115,6.09319,0,89.65440369,144,"Browning ",270,1.450201299,37979.16667,52.51739898,35473.81705,89.65440369,12.01703548,144,0,6371882.833,270,220.2363586,4.320432,0,86.948695,86.948695,0,0,4.050405,0
"94",17,26,4,"Pine","WHIP","Fall",15,7,8.537993921,2.388664793,0,6371882.83,296.565063,3.199601412,6.09319,0,89.605735,89.605735,0,0,1.792115,3.225806,0,96.86520386,147,"Browning ",199,1.450201299,37979.16667,52.51739898,35473.81705,99.76599884,3.199601412,200,0.663325,5202084.104,21,206.5650482,0.540054,2.610261,61.29613,82.088209,4.680468,0,5.130513,2.880288
"95",31,15,4,"Pine","WHIP","Fall",12,68,3.337219731,1.483207649,0,5202084.1,180,11.30993271,0,1.612903,76.164875,91.039427,0,0,9.498208,0,0,99.76599884,189,"Bushnell HD",233,1.450201299,37979.16667,52.51739898,35473.81705,120.1684036,6.379370213,257,0.701699,5615631.565,71,333.4349365,2.520252,2.970297,71.467147,85.238524,0,0,0,0
"96",32,13,4,"Pine","WHIP","Fall",6,43,1.689547582,0.865161337,0,5615631.56,295.016907,11.69020844,0,0,96.774194,100.179212,0,0,0,0.896057,0,99.28639984,227,"Browning ",278,1.450201299,37979.16667,52.51739898,35473.81705,92.95980072,3.199601412,265,0.452698,9505800.525,64,333.4349365,0,6.570657,40.774077,97.20972,0,0,2.970297,0
